Year,Series,Company,No.,Faction,Name,Secondary Name,Alternate Mode,Size Class,Notes,Distribution,Original Price
1984,The Transformers,Hasbro,-,Autobot,Camshaft,Downshift,Mazda RX-7,Omnibot,"Mail Away. Triple Changer - car mode, attack mode and robot mode. The Omnibots did not come with Tech Specs however it was later found that writer Bob Budiansky had written offical bios that were never used. Mail order through pamphlets ""Reinforcements From Cybertron!"" (offer ended 30/06/1985)",Mail Away,$5 & 4 Robot Points
1984,The Transformers,Hasbro,-,Autobot,Downshift,Camshaft,Toyota Celica Supra,Omnibot,"Mail Away. Triple Changer - car mode, attack mode and robot mode. The Omnibots did not come with Tech Specs however it was later found that writer Bob Budiansky had written offical bios that were never used. Mail order through pamphlets ""Reinforcements From Cybertron!"" (offer ended 30/06/1985)",Mail Away,$5 & 4 Robot Points
1984,The Transformers,Hasbro,-,Autobot,Overdrive,Overdrive,Ferrari Diablo,Omnibot,"Mail Away. Triple Changer - car mode, attack mode and robot mode. The Omnibots did not come with Tech Specs however it was later found that writer Bob Budiansky had written offical bios that were never used. Mail order through pamphlets ""Reinforcements From Cybertron!"" (offer ended 30/06/1985)",Mail Away,$5 & 4 Robot Points
1984,The Transformers,Hasbro,-,Autobot,Powerdasher Jet,-,Jet,Powerdashers,"Mail Away. Has Pull Back Motor. Unreleased in Japan. Mail order through pamphlets ""Reinforcements From Cybertron!"" (offer ended 30/06/1985). You could only tick the single Powerdasher option on the leaflet and you were randomly sent one of three styles. The jet form was the most common.",Mail Away,$3 & 2 Robot Points
1984,The Transformers,Hasbro,-,Autobot,Powerdasher Drill,-,Drill,Powerdashers,"Mail Away. Has Pull Back Motor. Unreleased in Japan. Mail order through pamphlets ""Reinforcements From Cybertron!"" (offer ended 30/06/1985). You could only tick the single Powerdasher option on the leaflet and you were randomly sent one of three styles. The jet form was the most common.",Mail Away,$3 & 2 Robot Points
1984,The Transformers,Hasbro,-,Autobot,Powerdasher Car,-,F-1 Car,Powerdashers,"Mail Away. Has Pull Back Motor. Unreleased in Japan. Mail order through pamphlets ""Reinforcements From Cybertron!"" (offer ended 30/06/1985). You could only tick the single Powerdasher option on the leaflet and you were randomly sent one of three styles. The jet form was the most common.",Mail Away,$3 & 2 Robot Points
1984,The Transformers,Hasbro,-,Autobot,Time Warrior,-,Wrist Watch,Watch,"Mail Away. Autobot logo watch. The logo splits in half to reveal the time. Mail order through pamphlets ""Reinforcements From Cybertron!"" (offer ended 30/06/1985)",Mail Away,$10 & 6 Robot Points
1984,The Transformers,Hasbro,-,Decepticon,Megatron,Megatron,Walther P-38 with extensions,Leader,"Chromed Walther P-38 pistol with extensions. Based on the gun in the TV Show ""The Man From U.N.C.L.E"". Early versions maintained the spring firing mechanism but this was removed for later releases. Came with a stock, silencer, scope and infrared laser. The stock, scope and silencer have various combinations.",Mainline,$21.95
1984,The Transformers,Hasbro,-,Decepticon,Soundwave,Soundwave,Microcassette player,Communications,"""Soundwave And Condor Cassette Buzzsaw"". Soundwave comes packaged with Buzzsaw who transforms into a Microcassette which fits inside Soundwave. Soundwaves weapons double as AA batteries which can fit in his back when the belt clip is removed.",Mainline,$14.95
1984,The Transformers,Hasbro,-,Decepticon,Buzzsaw,Buzzsaw,Microcassette,Cassette,"""Soundwave And Condor Cassette Buzzsaw"". Soundwave comes packaged with Buzzsaw who transforms into a Microcassette which fits inside Soundwave. Buzzsaw is a gold repaint on Laserbeak, this colour scheme was only released in the Transformers series and did not appear in the original Micro Change line. ",Mainline,$14.95
